DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t388,0.1888686131,2,0.6,2.167883212,0.2098540146,1.43540146
t389,0.197080292,2,0.6,2.175182482,0.2189781022,1.497810219
t390,0.2052919708,2,0.6,2.182481752,0.2281021898,1.560218978
t391,0.2135036496,2,0.6,2.189781022,0.2372262774,1.622627737
t392,0.2217153285,2,0.6,2.197080292,0.246350365,1.685036496
t393,0.2299270073,2,0.6,2.204379562,0.2554744526,1.747445255
t394,0.2381386861,2,0.6,2.211678832,0.2645985401,1.809854015
t395,0.246350365,2,0.6,2.218978102,0.2737226277,1.872262774
t396,0.2545620438,2,0.6,2.226277372,0.2828467153,1.934671533
t397,0.2627737226,2,0.6,2.233576642,0.2919708029,1.997080292
t398,0.2709854015,2,0.6,2.240875912,0.3010948905,2.059489051
t399,0.2791970803,2,0.6,2.248175182,0.3102189781,2.12189781
t400,0.2874087591,2,0.6,2.255474453,0.3193430657,2.184306569
t401,0.295620438,2,0.6,2.262773723,0.3284671533,2.246715328
t402,0.3038321168,2,0.6,2.270072993,0.3375912409,2.309124088
t403,0.3120437956,2,0.6,2.277372263,0.3467153285,2.371532847
t404,0.3202554745,2,0.6,2.284671533,0.3558394161,2.433941606
t405,0.3284671533,2,0.6,2.291970803,0.3649635036,2.496350365
t406,0.3366788321,2,0.6,2.299270073,0.3740875912,2.558759124
t407,0.3448905109,2,0.6,2.306569343,0.3832116788,2.621167883
t408,0.3531021898,2,0.6,2.313868613,0.3923357664,2.683576642
t409,0.3613138686,2,0.6,2.321167883,0.401459854,2.745985401
t410,0.3695255474,2,0.6,2.328467153,0.4105839416,2.808394161
t411,0.3777372263,2,0.6,2.335766423,0.4197080292,2.87080292
t412,0.3859489051,2,0.6,2.343065693,0.4288321168,2.933211679
t413,0.3941605839,2,0.6,2.350364964,0.4379562044,2.995620438
t414,0.4023722628,2,0.6,2.357664234,0.447080292,3.058029197
t415,0.4105839416,2,0.6,2.364963504,0.4562043796,3.120437956
t416,0.4187956204,2,0.6,2.372262774,0.4653284672,3.182846715
t417,0.4270072993,2,0.6,2.379562044,0.4744525547,3.245255474
t418,0.4352189781,2,0.6,2.386861314,0.4835766423,3.307664234
t419,0.4434306569,2,0.6,2.394160584,0.4927007299,3.370072993
t420,0.4516423358,2,0.6,2.401459854,0.5018248175,3.432481752
t421,0.4598540146,2,0.6,2.408759124,0.5109489051,3.494890511
t422,0.4680656934,2,0.6,2.416058394,0.5200729927,3.55729927
t423,0.4762773723,2,0.6,2.423357664,0.5291970803,3.619708029
t424,0.4844890511,2,0.6,2.430656934,0.5383211679,3.682116788
t425,0.4927007299,2,0.6,2.437956204,0.5474452555,3.744525547
t426,0.5009124088,2,0.6,2.445255474,0.5565693431,3.806934307
t427,0.5091240876,2,0.6,2.452554745,0.5656934307,3.869343066
t428,0.5173357664,2,0.6,2.459854015,0.5748175182,3.931751825
t429,0.5255474453,2,0.6,2.467153285,0.5839416058,3.994160584
t430,0.5337591241,2,0.6,2.474452555,0.5930656934,4.056569343
t431,0.5419708029,2,0.6,2.481751825,0.602189781,4.118978102
t432,0.5501824818,2,0.6,2.489051095,0.6113138686,4.181386861
t433,0.5583941606,2,0.6,2.496350365,0.6204379562,4.24379562
t434,0.5666058394,2,0.6,2.503649635,0.6295620438,4.30620438
t435,0.5748175182,2,0.6,2.510948905,0.6386861314,4.368613139
